doc_id,filename,doc_type,stage,date,from_entity,to_entity,confidentiality,tags,ground_truth_risks
MA-0001,MA-0001_DiligenceResponse_20250819.json,DiligenceResponse,Outreach,2025-08-19 11:15,Northstar,Riverbend,Internal,commercial|data-room|key-person-dependency|outreach,key_person_dependency
MA-0002,MA-0002_EmailThread_20250523.json,EmailThread,DefinitiveAgreement,2025-05-23 09:45,Northstar,Riverbend,Internal,definitiveagreement|tech,
MA-0003,MA-0003_Teaser_20250717.json,Teaser,LOI,2025-07-17 18:30,Riverbend,Northstar,Internal,hr|key-person-dependency|loi,key_person_dependency
MA-0004,MA-0004_CustomerConcentrationAnalysis_20250727.json,CustomerConcentrationAnalysis,DefinitiveAgreement,2025-07-27 08:30,Riverbend,Riverbend,Confidential,definitiveagreement|quality-yield|tech,customer_concentration|quality_yield
MA-0005,MA-0005_MeetingMinutes_20250813.json,MeetingMinutes,Diligence,2025-08-13 17:45,Northstar,Northstar,Confidential,diligence|open-source-license|tech,open_source_license
MA-0006,MA-0006_CybersecurityAssessment_20250401.json,CybersecurityAssessment,Diligence,2025-04-01 17:30,Northstar,Northstar,Highly Confidential,diligence|finance|supply-chain,cyber_incident
MA-0007,MA-0007_ProductRoadmap_20250604.json,ProductRoadmap,Integration,2025-06-04 10:45,Advisor,Northstar,Internal,integration|quality-yield|tech|working-capital,
MA-0008,MA-0008_MeetingMinutes_20251009.json,MeetingMinutes,Integration,2025-10-09 15:45,Northstar,Northstar,Internal,integration|legal|supply-chain,supply_chain
MA-0009,MA-0009_EmailThread_20250526.json,EmailThread,Diligence,2025-05-26 11:15,Northstar,Riverbend,Internal,data-room|diligence|hr|revenue-recognition,revenue_recognition
MA-0010,MA-0010_IntegrationStatusUpdate_20251119.json,IntegrationStatusUpdate,Marketing,2025-11-19 12:45,Northstar,Northstar,Confidential,legal|marketing|privacy-compliance,privacy_compliance
MA-0011,MA-0011_IntegrationStatusUpdate_20250705.json,IntegrationStatusUpdate,Outreach,2025-07-05 09:00,Northstar,Northstar,Internal,cyber|integration|outreach|quality-yield,quality_yield
MA-0012,MA-0012_MeetingMinutes_20250901.json,MeetingMinutes,NDA,2025-09-01 15:30,Northstar,Riverbend,Internal,finance|nda|quality-yield,quality_yield
MA-0013,MA-0013_MeetingMinutes_20250427.json,MeetingMinutes,Closing,2025-04-27 09:45,Advisor,Riverbend,Confidential,closing|finance|open-source-license,open_source_license
MA-0014,MA-0014_EmailThread_20250918.json,EmailThread,Diligence,2025-09-18 14:15,Riverbend,Northstar,Confidential,diligence|earnout|legal,
MA-0015,MA-0015_EmailThread_20250701.json,EmailThread,Integration,2025-07-01 17:30,Northstar,Riverbend,Internal,finance|integration|supply-chain,supply_chain
MA-0016,MA-0016_FinancialModelNote_20250901.json,FinancialModelNote,NDA,2025-09-01 16:30,Northstar,Northstar,Confidential,cyber-incident|nda|tech,cyber_incident
MA-0017,MA-0017_MeetingMinutes_20250912.json,MeetingMinutes,Marketing,2025-09-12 15:45,Advisor,Northstar,Confidential,commercial|export-controls|marketing,
MA-0018,MA-0018_PressReleaseDraft_20250525.json,PressReleaseDraft,DefinitiveAgreement,2025-05-25 14:15,Northstar,Northstar,Internal,definitiveagreement|ops,
MA-0019,MA-0019_FinancialModelNote_20250910.json,FinancialModelNote,Integration,2025-09-10 15:45,Northstar,Northstar,Confidential,escrow|integration|legal,
MA-0020,MA-0020_CIMExcerpt_20250730.json,CIMExcerpt,Diligence,2025-07-30 12:30,Northstar,Riverbend,Confidential,diligence|hr|open-source-license|pricing,open_source_license
MA-0021,MA-0021_CustomerConcentrationAnalysis_20250411.json,CustomerConcentrationAnalysis,LOI,2025-04-11 17:45,Riverbend,Northstar,Confidential,data-room|finance|loi,
